country,year_1914,year_1915,year_1916,year_1917,year_1918,year_1919,year_1920,year_1921,year_1922,year_1923,year_1924,year_1925,year_1926,year_1927,year_1928,year_1929,year_1930,year_1931,year_1932,year_1933,year_1934,year_1935,year_1936,year_1937,year_1938,year_1939,year_1940,year_1941,year_1942,year_1943,year_1944,year_1945,year_1946,year_1947,year_1948,year_1949,year_1950,year_1951,year_1952,year_1953,year_1954,year_1955
Bangladesh,22.86,23.03,23.2,23.37,13.05215362,23.71,23.88,24.05,24.22,24.39,24.56,24.73,24.9,25.64753197,26.39506394,27.14259592,27.89012789,28.63765986,29.38519183,30.1327238,30.88025578,31.62778775,32.37531972,33.12285169,33.87038366,34.61791564,35.36544761,36.11297958,33.81359268,23.54752612,25.98982141,37.07593605,43.0,37.07593605,38.56872903,42.0,42.875,43.038000000000004,43.376000000000005,43.739,44.126999999999995,44.541000000000004
Barbados,32.124,32.124,32.124,32.124,20.83435403,32.124,32.124,32.124,32.95158621,33.77917241,34.60675862,35.43434483,36.26193103,37.08951724,37.91710345,38.74468966,39.57227586,40.39986207,41.22744828,42.05503448,42.88262069,43.710206899999996,44.5377931,45.36537931,46.19296552,47.02055172,47.84813793,48.67572414,49.50331034,50.33089655,51.15848276,51.98606897,52.81365517,53.64124138,54.46882759,55.29641379,56.123999999999995,56.4,56.95,57.49100000000001,58.023,58.547
Belarus,42.922,37.372,37.372,35.372,31.372,33.372,30.421999999999997,33.722,34.622,43.522,46.022,45.122,48.321999999999996,47.422,49.022,47.122,47.071999999999996,48.071999999999996,39.321999999999996,26.0,42.122,51.972,52.672,51.422,52.672,52.472,52.272,20.0,15.0,14.0,21.0,30.0,57.672,47.622,60.272,63.071999999999996,65.02199999999999,65.247,65.692,66.125,66.548,66.958
Belgium,42.0,40.0,42.0,43.0,34.9423694,49.86,53.66,54.75,55.15,56.77,57.51,57.16,56.97,57.2,57.53,55.07,57.17,58.51,58.59,58.76,60.42,60.01,60.01,60.0,60.15,60.01,55.96,58.95,59.2,60.39,56.94,58.39,61.92,63.46,64.98,65.48,66.35,66.8,68.0,68.37,68.63,68.58
Belize,28.75,29.3125,29.875,30.4375,26.90723923,31.5625,32.125,32.6875,33.25,33.8125,34.375,34.9375,35.5,36.0625,36.625,37.1875,37.75,38.3125,38.875,39.4375,40.0,40.925375,41.85075,42.776125,43.7015,44.626875,45.55225,46.477625,47.403,48.328375,49.25375,50.179125,51.1045,52.029875,52.95525,53.880625,54.806000000000004,55.086000000000006,55.644,56.196999999999996,56.745,57.288999999999994
Benin,31.0,31.0,31.0,31.0,11.98897173,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.28266667,31.56533333,31.848000000000003,32.13066667,32.41333333,32.696,32.955,33.467,33.971,34.465,34.949
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,28.799,28.799,28.799,28.799,18.45509833,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.799,28.975,29.331,29.694000000000003,30.064,30.441
Bolivia,33.0,33.0,33.0,33.0,29.17253042,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.6845,34.369,35.0535,35.738,36.4225,37.107,37.7915,38.476,39.1605,39.845,39.988,40.274,40.564,40.856,41.15
Bosnia and Herzegovina,35.1,35.1,35.1,35.1,19.26328843,35.1,35.1,35.64406667,36.18813333,36.7322,37.27626667,37.82033333,38.3644,38.90846667,39.45253333,39.9966,40.54066667,41.08473333,41.6288,42.17286667,42.71693333,43.261,43.80506667,44.34913333,44.8932,45.43726667,45.98133333,31.36507937,27.52380952,23.80952381,21.77777778,25.904761899999997,41.0,49.0,50.0,50.7,51.422,52.013000000000005,53.165,54.25899999999999,55.297,56.277
