country,year_1914,year_1915,year_1916,year_1917,year_1918,year_1919,year_1920,year_1921,year_1922,year_1923,year_1924,year_1925,year_1926,year_1927,year_1928,year_1929,year_1930,year_1931,year_1932,year_1933,year_1934,year_1935,year_1936,year_1937,year_1938,year_1939,year_1940,year_1941,year_1942,year_1943,year_1944,year_1945,year_1946,year_1947,year_1948,year_1949,year_1950,year_1951,year_1952,year_1953,year_1954,year_1955
Gabon,30.6,30.6,30.6,30.6,11.83427532,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,31.6726,32.7452,33.8178,34.8904,35.963,36.248000000000005,36.79,37.278,37.714,38.097
Gambia,28.8,28.8,28.8,28.8,11.42010487,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.9782,29.1564,29.3346,29.5128,29.691,29.84,30.129,30.403000000000002,30.66,30.901999999999997
Georgia,37.071,36.671,36.671,33.671,25.0,35.0,37.0,33.0,35.5,36.0,35.0,39.341,42.541000000000004,41.87638814,43.38437427,42.14185797,41.45985174,40.5,38.0,24.0,43.82262426,45.37997279,47.04907428,46.05766569,47.74228107,50.141000000000005,47.67100000000001,33.3,29.8,27.8,35.0,45.0,54.67100000000001,46.67100000000001,54.74100000000001,57.541000000000004,59.841,60.043,60.445,60.846000000000004,61.247,61.647
Germany,46.17648422,40.52556325,38.988819299999996,40.08037644,32.93682031,48.32065914,53.5,55.01428571,55.61571429,56.21714286,56.81857143,57.42,57.828,58.236000000000004,58.644,59.052,59.46,59.868,60.276,60.684,61.092,61.5,61.78666667,62.07333333,62.36,61.0,60.65987376,59.0,55.0,49.7,37.0,29.0,60.511359999999996,62.109519999999996,63.70768,65.30584,66.904,67.066,67.385,67.692,67.988,68.271
Ghana,28.0,28.0,28.0,28.0,9.437626422000001,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.52488,29.04976,29.574640000000002,30.099520000000002,30.6244,31.149279999999997,31.674159999999997,32.199040000000004,32.72392,33.2488,33.77368,34.298559999999995,34.823440000000005,35.34832,35.8732,36.39808,36.922959999999996,37.44784,37.97272,38.4976,39.02248,39.54736,40.07224,40.597120000000004,41.122,41.388000000000005,41.917,42.438,42.952,43.458
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,43.05872615,43.32425846,43.58979077,43.85532308,24.06831161,44.38638769,44.651920000000004,44.925959999999996,45.2,45.8,46.4,47.0,47.6,48.2,46.17488,49.9684,50.1456,50.3228,50.5,50.96,51.42,51.88,52.34,52.8,53.31189333,53.82378667,54.33568,40.2,29.5,39.0,45.0,58.0,56.1,53.5,48.2,55.3,65.419,65.477,65.617,65.806,66.043,66.327
Greenland,33.56471621,33.21552014,32.86632407,33.06650979,28.89073575,33.46688122,33.66706694,33.86725266,34.65023568,35.43321871,36.21620174,36.99918476,37.78216779,38.56515082,39.34813384,38.59999648,37.85185912,37.10372176,36.3555844,35.60744704,34.85930968,34.11117231,33.36303495,34.85930968,36.3555844,37.85185912,39.34813384,41.200925,43.05371616,42.73560876,42.41750136,42.09939396,41.78128655,41.93914737,42.09700819,42.25486902,42.41272984,44.06436956,45.71600929,48.81611646,51.91622362,55.01633079
Grenada,37.3,37.3,37.3,37.3,24.19130262,37.3,37.3,37.3,37.99,38.68,39.37,40.06,40.75,41.44,42.13,42.82,43.51,44.2,44.78666667,45.37333333,45.96,46.54666667,47.13333333,47.72,48.30666667,48.89333333,49.48,50.06666667,50.65333333,51.24,51.82666667,52.41333333,53.0,53.55775,54.1155,54.67325,55.231,55.516000000000005,56.078,56.626999999999995,57.161,57.681000000000004
Guadeloupe,27.655,27.655,27.655,27.655,17.93593764,27.655,27.655,27.655,28.48258621,29.31017241,30.13775862,30.96534483,31.79293103,32.62051724,33.44810345,34.27568966,35.10327586,35.93086207,36.75844828,37.58603448,38.41362069,39.241206899999995,40.0687931,40.89637931,41.72396552,42.55155172,43.37913793,44.20672414,45.03431034,45.86189655,46.68948276,47.51706897,48.34465517,49.17224138,49.99982759,50.82741379,51.655,52.088,52.94,53.769,54.571999999999996,55.351000000000006
Guam,27.5,27.5,27.5,27.5,5.526130642,27.5,27.5,27.5,27.5,27.5,27.5,27.5,28.64524,29.79048,30.93572,32.08096,33.2262,34.37144,35.51668,36.66192,37.807159999999996,38.9524,40.097640000000006,41.24288,42.38812,43.533359999999995,44.6786,44.6,44.5,44.3,26.0,45.0,50.0,52.0,53.8,54.98,56.131,56.38,56.879,57.382,57.888000000000005,58.397
Guatemala,25.81824,25.8184,25.81856,25.818720000000003,9.690052174,25.81904,25.8192,25.81936,25.81787077,25.81638154,25.81489231,25.81340308,25.81191385,25.81042462,25.80893538,25.80744615,25.80595692,25.80446769,25.80297846,25.80148923,25.8,26.55874667,27.31749333,28.076240000000002,28.83498667,29.59373333,30.35248,31.454332,32.556184,33.658035999999996,34.759888000000004,35.861740000000005,36.963592,38.065444,39.167296,40.269148,41.371,41.523,41.845,42.199,42.585,43.004
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,30.67931034,30.68965517,30.7,30.71034483,11.87695019,30.73103448,30.74137931,30.75172414,30.76206897,30.77241379,30.78275862,30.79310345,30.80344828,30.813793100000005,30.82413793,30.83448276,30.84482759,30.85517241,30.86551724,30.87586207,30.886206899999998,30.89655172,30.90689655,30.91724138,30.92758621,30.93793103,30.94827586,30.95862069,30.96896552,30.97931034,30.98965517,31.0,31.3072,31.6144,31.9216,32.2288,32.536,32.673,32.946,33.211999999999996,33.474000000000004,33.73
Guinea-Bissau,32.0,32.0,32.0,32.0,12.37571275,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.33883333,32.67766667,33.0165,33.35533333,33.69416667,34.033,34.37183333,34.71066667,35.0495,35.38833333,35.72716667,36.066,36.40483333,36.74366667,37.0825,37.42133333,37.76016667,38.099000000000004,38.43783333,38.77666667,39.1155,39.45433333,39.79316667,40.132,40.47083333
Guyana,32.17072,32.520959999999995,32.8712,33.22144,29.36828694,33.92192,34.27216,34.6224,35.37795556,36.13351111,36.88906667,37.64462222,38.40017778,39.15573333,39.91128889,40.66684444,41.4224,42.19923,42.97606,43.75289,44.529720000000005,45.30655,46.08338,46.860209999999995,47.63704,48.41387,49.1907,49.96753,50.74436,51.521190000000004,52.29802,53.07485,53.85168,54.62851,55.40534,56.18216999999999,56.958999999999996,57.026,57.161,57.294,57.427,57.559
Haiti,29.0,29.0,29.0,29.0,18.80825136,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.908625,30.81725,31.725875,32.6345,33.543125,34.45175,35.360375,36.269,36.601,37.26,37.908,38.546,39.172
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,33.9,33.9,33.9,33.9,29.96814489,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,34.24735,34.5947,34.94205,35.2894,35.63675,35.9841,36.33145,36.6788,37.02615,37.3735,37.72085,38.0682,38.41555,38.7629,39.11025,39.4576,39.80495,40.1523,40.49965,40.847,41.065,41.519,42.006,42.528,43.083
"Hong Kong, China",34.9,34.9,34.9,34.9,22.36476723,34.9,34.9,35.80736667,36.71473333,37.6221,38.52946667,39.43683333,40.3442,41.25156667,42.15893333,43.0663,43.97366667,44.88103333,45.7884,46.69576667,47.60313333,48.5105,49.41786667,50.32523333,51.2326,52.13996667,53.04733333,53.9547,54.86206667,55.76943333,56.6768,57.58416667,58.49153333,59.3989,60.30626667,61.21363333,62.121,62.378,62.898,63.431999999999995,63.979,64.54
Hungary,40.676864,40.90656,41.136256,41.365952,30.11303477,41.825344,42.055040000000005,42.870816,43.686592,44.502368,45.318144000000004,46.13392,46.949696,47.765471999999995,48.581247999999995,49.397024,50.2128,50.89152,51.570240000000005,52.24896,52.92768,53.6064,54.28511999999999,54.963840000000005,55.642559999999996,56.32128,57.0,56.555519999999994,51.0,41.0,26.0,47.0,55.0,59.0,60.69868,61.29056,62.07,62.46,64.03,63.87,65.43,66.88
Iceland,51.92,53.66,54.53,59.02,51.07,58.49,54.58,54.21,56.95,57.67,54.0,58.23,60.79,58.12,61.81,60.55,60.23,60.83,62.16,63.02,63.37,59.49,62.75,63.52,65.09,65.99,65.79,63.18,64.12,65.22,66.8,67.53,68.56,69.39,70.17,71.44,71.01,71.05,72.49,72.31,73.36,73.3
India,23.72293333,23.91511111,24.10728889,24.29946667,8.108836575,24.57893333,24.71866667,24.8584,25.304000000000002,25.7496,26.1952,26.6408,27.0864,27.531999999999996,27.9776,28.4232,28.8688,29.3144,29.64224,29.97008,30.29792,30.625759999999996,30.9536,31.281440000000003,31.60928,31.93712,32.264959999999995,32.5928,32.84137778,32.09974975,32.59606923,33.58711111,33.83568889,32.37850288,34.08566881,34.58142222,34.83,35.167,35.843,36.522,37.204,37.889
Indonesia,30.0,30.0,30.0,30.0,14.02999281,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.375,35.75,36.125,36.5,29.0,28.0,27.0,26.0,30.5,31.0,31.5,32.0,36.397,36.868,37.802,38.722,39.63,40.524
Iran,25.6,25.6,25.6,25.6,21.22314543,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,26.9818,28.3636,29.7454,31.1272,32.509,33.8908,35.2726,36.6544,38.0362,39.418,39.71,40.294000000000004,40.878,41.461999999999996,42.047
Iraq,31.2,31.2,31.2,31.2,25.86570849,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.5665,31.933000000000003,32.2995,32.666,33.0325,33.399,33.7655,34.132,34.4985,34.865,35.658,37.217,38.727,40.188,41.599
Ireland,54.56,54.81333333,55.06666667,55.32,49.68159322,55.82666667,56.08,56.33333333,56.58666667,56.84,57.09333333,57.34666667,57.6,57.73,57.86,57.99,58.12,58.25,58.38,58.51,58.64,58.77,58.9,59.12,59.34,59.56,59.78,60.0,60.28,60.56,60.84,61.12,61.4,62.4525,63.505,64.5575,65.61,64.78,67.2,67.96,68.07,68.06
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,32.0,32.0,32.0,32.0,26.52893178,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,34.1448,36.2896,38.4344,40.5792,42.724,44.8688,47.0136,49.1584,51.3032,53.448,55.5928,57.7376,59.8824,62.0272,64.172,64.498,65.128,65.71600000000001,66.26,66.763
Italy,49.89,42.34,39.27,37.69,25.62,42.1,45.51,49.25,50.01,51.45,51.51,51.31,50.96,52.58,52.67,52.29,55.2,54.78,54.77,56.29,56.86,56.22,56.75,55.49,56.13,57.64,56.95,54.62,52.45,49.19,52.34,54.78,58.97,61.18,63.45,64.11,65.77,65.31,65.94,66.58,67.9,68.25
Jamaica,38.2,37.0,35.6,31.7,26.4,36.6,35.4,30.7,37.0,38.0,38.6,38.9,40.7,39.4,41.6,43.0,45.3,42.7,44.2,41.6,44.4,44.0,44.4,47.2,45.9,48.5,47.6,49.4,49.8,50.3,49.1,49.1,51.4,50.4,51.7,53.9,56.63,57.121,58.082,59.003,59.883,60.721000000000004
Japan,40.714271999999994,40.899440000000006,41.128415999999994,41.357392,32.69594853,41.815344,42.04432,42.33032,42.61632,43.224928000000006,43.833535999999995,44.442144,45.050752,45.65936,45.98225,46.30514,46.628029999999995,46.95092,47.27381,47.5967,47.91959,48.24248,48.62124,49.0,49.0,49.0,49.0,48.75,48.5,46.0,40.0,30.5368,46.5,51.75,56.89,57.76,59.3,60.99,63.03,63.37,64.61,65.77
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,31.7,31.7,31.7,31.7,26.28022305,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,31.7,32.57086667,33.44173333,34.3126,35.18346667,36.05433333,36.9252,37.79606667,38.66693333,39.5378,40.40866667,41.27953333,42.1504,43.02126667,43.89213333,44.763000000000005,45.198,46.06399999999999,46.92,47.766999999999996,48.603
Kazakhstan,31.4,31.0,31.0,28.0,18.0,23.47,18.97,22.27,23.17,32.07,34.57,33.67,36.87,36.20538814,37.71337427,36.47085797,35.78885174,16.0,8.0,4.0,38.15162426,39.70897279,41.37807428,40.38666569,42.07128107,44.47,42.0,27.0,24.0,23.0,31.0,39.0,49.0,41.0,49.07,51.87,54.17,54.4,54.858999999999995,55.31399999999999,55.766000000000005,56.214
Kenya,25.5,25.5,25.5,25.5,6.011524952,25.5,25.5,25.5,25.5,25.18496,24.86992,24.554879999999997,24.23984,23.9248,24.16968,24.41456,24.65944,24.904320000000002,25.1492,25.39408,25.63896,25.88384,26.12872,26.3736,26.6797,26.9858,27.2919,27.598000000000003,27.9041,28.2102,28.5163,28.8224,31.37492,33.927440000000004,36.47996,39.03248,41.585,41.74,42.074,42.457,42.888000000000005,43.368
Kiribati,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,26.006875,27.11375,28.220625,29.3275,30.434375,31.54125,32.648125,30.0,27.0,31.0,27.0,37.8,39.2,40.39625,41.503125,42.61,42.836000000000006,43.288999999999994,43.74100000000001,44.193999999999996,44.646
"Korea, Dem. Rep.",25.48004,25.97896,26.47788,26.9768,17.03161229,27.48832,27.999840000000003,28.511359999999996,29.022879999999997,29.5344,30.348544,31.162688,31.976832,32.790976,33.60512,34.361744,35.118368,35.874992,36.631615999999994,37.38824,38.4248,39.46136,40.49792,41.53448,42.57104,43.1505,43.72996,44.30942,44.88888,43.0,42.0,42.5,45.0,47.0,47.58858667,48.03853778,36.0,27.0,25.0,32.0,42.937,47.0
"Korea, Rep.",25.48004,25.97896,26.47788,26.9768,17.03161229,27.48832,27.999840000000003,28.511359999999996,29.022879999999997,29.5344,30.348544,31.162688,31.976832,32.790976,33.60512,34.361744,35.118368,35.874992,36.631615999999994,37.38824,38.4248,39.46136,40.49792,41.53448,42.57104,43.1505,43.72996,44.30942,44.88888,43.0,42.0,42.5,45.0,47.0,47.58858667,48.03853778,43.0,40.5,40.0,45.0,48.0,49.527
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,26.0,26.0,26.0,26.0,21.55475707,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,28.29763636,30.59527273,32.89290909,35.19054545,37.48818182,39.78581818,42.08345455,44.38109091,46.67872727,48.97636364,51.273999999999994,51.821000000000005,52.898,53.935,54.933,55.893
Kyrgyzstan,29.141,28.741,28.741,25.741,15.741,21.211,16.711,12.0,14.0,29.811,32.311,31.410999999999998,34.611,33.94638814,35.45437427,34.21185797,33.52985174,27.741,19.741,15.741,35.89262426,37.44997279,39.11907428,38.12766569,39.81228107,42.211000000000006,39.741,29.0,25.0,24.0,32.0,39.5,46.74100000000001,38.741,46.81100000000001,49.611000000000004,51.911,52.14,52.598,53.053999999999995,53.50899999999999,53.963
Laos,31.9,31.9,31.9,31.9,20.44229441,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.9,31.5,31.2,30.9,30.1,29.1,27.0,34.0,36.0,38.5,39.4852,40.328,40.474000000000004,40.766,41.062,41.36,41.66
Latvia,49.5,40.3,40.1,39.5,35.5,40.1,47.71124487,57.15177272,55.57485919,56.68939467,53.7,52.92242312,55.87361205,54.18974027,54.89441651,52.88878138,56.02355001,56.73659849,56.60679353,58.5677718,55.53142064,58.083999999999996,57.55924914,56.713713399999996,59.92887826,59.26653119,52.0,31.0,43.2,42.1,23.5,38.0,54.96653119,47.96653119,58.66653119,59.16653119,59.715,60.445,61.852,63.15,64.34100000000001,65.423
Lebanon,29.7,29.7,29.7,29.7,24.62216481,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,29.7,32.6886,35.6772,38.6658,41.6544,44.643,47.6316,50.6202,53.6088,56.5974,59.586000000000006,59.81399999999999,60.261,60.693000000000005,61.108000000000004,61.507
Lesotho,32.8,32.8,32.8,32.8,12.68510557,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,32.8,34.4438,36.0876,37.7314,39.3752,41.019,41.299,41.864,42.442,43.034,43.637
Liberia,31.1,31.1,31.1,31.1,12.02764583,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.418000000000003,31.736,32.054,32.372,32.69,32.801,33.02,33.232,33.437,33.637
Libya,33.1,33.1,33.1,33.1,25.33110994,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,32.8,31.0,30.1,30.0,30.2,32.5,34.0,34.81775,35.6355,36.45325,37.271,36.98,36.538000000000004,36.38,36.506,36.914
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,45.7,39.5,39.4,39.0,34.5,39.0,43.0,49.092,49.443999999999996,49.79600000000001,50.148,50.5,51.0224,51.5448,52.0672,52.5896,53.111999999999995,53.6344,54.1568,54.6792,55.2016,55.724,56.2464,56.7688,57.2912,55.0,51.0,12.0,46.0,44.4,27.0,40.0,52.5,45.5,58.0,60.5,63.56,63.871,64.492,65.111,65.72800000000001,66.342
Luxembourg,50.0696,51.4688,50.1152,48.0472,42.3344,44.6784,54.6224,56.2056,55.2664,54.684,56.7616,54.7888,53.4056,55.8592,55.352,52.7032,56.7984,57.5888,56.6616,58.3152,59.9032,59.1008,61.2008,61.06399999999999,59.2032,60.352,61.9472,59.9912,58.3328,54.32,47.836000000000006,49.4008,61.6128,63.0568,64.4936,64.84,65.248,65.42,65.76100000000001,66.092,66.415,66.73
"Macao, China",34.7,34.7,34.7,34.7,22.23660238,34.7,34.7,35.5429,36.3858,37.2287,38.0716,38.9145,39.7574,40.6003,41.4432,42.2861,43.129,43.9719,44.8148,45.6577,46.5006,47.3435,48.1864,49.0293,49.8722,50.7151,51.558,52.4009,53.2438,54.0867,54.9296,55.7725,56.6154,57.4583,58.3012,59.1441,59.986999999999995,60.254,60.786,61.316,61.843,62.368
"Macedonia, FYR",36.1,36.1,36.1,36.1,19.81210006,36.1,36.1,36.62784383,37.15568765,37.68353148,38.21137531,38.73921913,39.26706296,39.79490679,40.32275062,40.85059444,41.37843827,41.9062821,42.43412592,42.96196975,43.48981358,44.0176574,44.54550123,45.07334506,45.60118889,46.12903271,46.65687654,46.0,44.625,43.36538462,42.21538462,42.18461538,48.0,50.5,51.5,52.3,53.042,53.527,54.477,55.386,56.251999999999995,57.076
Madagascar,30.5,30.5,30.5,30.5,12.7142916,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,31.4698,32.4396,33.4094,34.3792,35.349000000000004,35.591,36.076,36.561,37.047,37.533
Malawi,30.3,30.3,30.3,30.3,11.71825301,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,31.4448,32.5896,33.7344,34.8792,36.024,36.091,36.232,36.39,36.563,36.751999999999995
Malaysia,30.6,30.6,30.6,30.6,19.60922285,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,31.7443,32.8886,34.0329,35.1772,36.3215,37.4658,38.6101,39.7544,40.8987,42.043,41.8,36.1,38.5,38.3,38.1,45.0,48.0,50.5,52.0,53.486000000000004,53.816,54.472,55.122,55.765,56.402
Maldives,32.647,32.647,32.647,32.647,10.5989291,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.647,32.719,32.887,33.099000000000004,33.355,33.656
Mali,26.408,26.408,26.408,26.408,10.21305695,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.408,26.563000000000002,26.855999999999998,27.116999999999997,27.345,27.54
Malta,48.55307692,49.02576923,49.49846154,49.97115385,47.1372566,50.91653846,51.38923077,51.86192308,52.33461538,52.80730769,53.28,53.75269231,54.22538462,54.69807692,55.17076923,55.64346154,56.11615385,56.58884615,57.06153846,57.53423077,58.00692308,58.47961538,58.60971154,58.73980769,58.86990385,59.0,57.5,53.0,56.0,61.0,62.5,63.20653846,63.67923077,64.15192308,64.62461538,65.09730769,65.57,65.622,65.738,65.883,66.054,66.253
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,30.153000000000002,30.153000000000002,30.153000000000002,30.153000000000002,19.55604149,30.153000000000002,30.153000000000002,30.153000000000002,30.98058621,31.80817241,32.63575862,33.46334483,34.29093103,35.11851724,35.94610345,36.77368966,37.60127586,38.42886207,39.25644828,40.08403448,40.91162069,41.7392069,42.566793100000005,43.39437931,44.22196552,45.04955172,45.87713793,46.70472414,47.53231034,48.35989655,49.18748276,50.01506897,50.84265517,51.67024138,52.49782759,53.32541379,54.153,54.513999999999996,55.228,55.927,56.611000000000004,57.278999999999996
Mauritania,32.0,32.0,32.0,32.0,12.37571275,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,33.089,34.178000000000004,35.266999999999996,36.356,37.445,37.72,38.28,38.863,39.47,40.099000000000004
Mauritius,30.53967429,28.50349281,32.62329601,30.72346315,29.54831247,12.0,31.18778883,23.87965007,28.41811047,34.02265529,34.849076399999994,38.82353499,37.45074619,37.67612613,34.33024124,31.849657699999998,27.66108729,24.75497886,29.90502824,35.26978452,37.00402293,36.12649879,36.23504102,33.71782518,32.62329601,34.53684187,37.22671448,37.11520169,33.31562928,36.78266354,35.48203935,27.08626126,33.01713386,38.6176,41.77306667,44.92853333,48.083999999999996,48.595,49.636,50.711000000000006,51.82,52.961999999999996
Mayotte,32.5,32.5,32.5,32.5,12.56908326,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,34.9418,37.3836,39.8254,42.2672,44.708999999999996,45.375,46.677,47.923,49.111000000000004,50.24100000000001
Mexico,29.14,29.5725,30.005,30.4375,18.18642435,31.3025,31.735,32.1675,32.6,33.5,32.8,32.1,34.2,40.3,34.5,35.4,36.2,37.7,38.4,37.3,38.2,40.4,38.3,36.8,39.4,45.5,39.2,42.6,39.8,42.8,43.2,44.2,44.8,46.3,48.3,45.8,48.556000000000004,49.115,50.21,51.254,52.247,53.19
"Micronesia, Fed. Sts.",26.7,26.7,26.7,26.7,8.668220878,26.7,26.7,26.7,26.7,26.7,26.7,26.7,27.783040000000003,28.86608,29.94912,31.032159999999998,32.1152,33.198240000000006,34.281279999999995,35.36432,36.447359999999996,37.5304,38.613440000000004,39.69648,40.77952,41.862559999999995,42.9456,44.02864,43.0,37.0,28.0,45.0,48.0,50.0,51.6,52.7,53.776,53.976000000000006,54.376000000000005,54.776,55.176,55.577
Moldova,33.145,33.145,33.145,33.145,31.21478547,33.145,33.145,33.63291667,34.12083333,34.60875,35.09666667,35.58458333,36.0725,36.56041667,37.04833333,37.53625,38.02416667,38.51208333,39.0,40.06361111,41.12722222,42.19083333,43.25444444,44.31805556,45.38166667,46.44527778,47.50888889,40.5,39.0,35.0,24.9,44.5,51.0,21.0,55.0,56.5,58.145,58.375,58.827,59.265,59.688,60.098
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,31.8,31.8,31.8,31.8,20.37821198,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,33.9448,36.0896,38.2344,40.3792,42.523999999999994,42.638000000000005,42.917,43.295,43.771,44.345
Montenegro,35.4,35.4,35.4,35.4,19.42793192,35.4,35.4,36.1926,36.9852,37.7778,38.5704,39.363,40.1556,40.9482,41.7408,42.5334,43.326,44.1186,44.9112,45.7038,46.4964,47.288999999999994,48.0816,48.8742,49.6668,50.4594,51.251999999999995,40.43545879,37.45463971,36.28823224,34.71574218,36.49559357,46.0,56.0,57.1,58.38,59.178000000000004,59.293,59.556000000000004,59.88399999999999,60.278,60.736000000000004
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,33.1,33.1,33.1,33.1,25.33110994,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,34.2937,35.4874,36.6811,37.8748,39.0685,40.2622,41.4559,42.6496,43.8433,45.037,45.18899999999999,45.498000000000005,45.821000000000005,46.158,46.50899999999999
Mozambique,30.27648,30.27646667,30.27645333,30.27644,11.70914139,30.27641333,30.2764,30.27638667,30.27637333,30.276359999999997,30.27634667,30.27633333,30.276320000000002,30.27630667,30.27629333,30.27628,30.27626667,30.27625333,30.27624,30.27622667,30.27621333,30.2762,30.27618667,30.27617333,30.276159999999997,30.27614667,30.27613333,30.276120000000002,30.27610667,30.27609333,30.27608,30.27606667,30.27605333,30.276040000000002,30.27602667,30.27601333,30.276,30.528000000000002,31.034000000000002,31.54,32.046,32.551
